ÿNO.,Compounds,,,,Phase,,,Bandgap from Tauc Plot (eV),
Sample #,Target Compound,Synthesized Compound,Materials Category,Successfully made into films? (Y/N),Dimensionality,Space Group,Other phases observed ,Direct,Indirect
,,,,,,,,,
46,Cs3(BiSb)2I9,Cs3Bi2I9:Cs3Sb2I9=8:2,Bi/Sb ternary compounds,Y,0D,P63/mmc,,2.31,1.97
47,Cs3(BiSb)2I9,Cs3Bi2I9:Cs3Sb2I9=7:3,Bi/Sb ternary compounds,Y,0D,P63/mmc,,2.21,1.88
48,Cs3(BiSb)2I9,Cs3Bi2I9:Cs3Sb2I9=6:4,Bi/Sb ternary compounds,Y,0D,P63/mmc,,2.21,1.87
49,Cs3(BiSb)2I9,Cs3Bi2I9:Cs3Sb2I9=5:5,Bi/Sb ternary compounds,Y,0D,P63/mmc,,2.3,1.92
50,Cs3(BiSb)2I9,Cs3Bi2I9:Cs3Sb2I9=4:6,Bi/Sb ternary compounds,Y,0D,P63/mmc,,2.31,1.94
51,Cs3(BiSb)2I9,Cs3Bi2I9:Cs3Sb2I9=3:7,Bi/Sb ternary compounds,Y,0D,P63/mmc,,2.32,1.94
52,Cs3(BiSb)2I9,Cs3Bi2I9:Cs3Sb2I9=2:8,Bi/Sb ternary compounds,Y,0D,P63/mmc,,2.46,1.99
53,Cs3(BiSb)2I9,Cs3Bi2I9:Cs3Sb2I9=1:9,Bi/Sb ternary compounds,Y,0D,P63/mmc,,2.01,1.8
54,Cs3(BiSb)2(IBr)9,Cs3Bi2I9:Cs3Sb2Br9=9:1,Bi/Sb ternary compounds,Y,0D,P63/mmc,,2.27,2
55,Cs3(BiSb)2(IBr)9,Cs3Bi2I9:Cs3Sb2Br9=8:2,Bi/Sb ternary compounds,Y,2D,P-3m1,,2.18,1.91
56,Cs3(BiSb)2(IBr)9,Cs3Bi2I9:Cs3Sb2Br9=7:3,Bi/Sb ternary compounds,Y,2D,P-3m1,,2.18,1.95
57,Cs3(BiSb)2(IBr)9,Cs3Bi2I9:Cs3Sb2Br9=6:4,Bi/Sb ternary compounds,Y,2D,P-3m1,,2.19,1.92
58,Cs3(BiSb)2(IBr)9,Cs3Bi2I9:Cs3Sb2Br9=5:5,Bi/Sb ternary compounds,Y,2D,P-3m1,,2.23,1.97
59,Cs3(BiSb)2(IBr)9,Cs3Bi2I9:Cs3Sb2Br9=4:6,Bi/Sb ternary compounds,Y,2D,P-3m1,,2.27,2.06
60,Cs3(BiSb)2(IBr)9,Cs3Bi2I9:Cs3Sb2Br9=3:7,Bi/Sb ternary compounds,Y,2D,P-3m1,,2.39,2.11
61,Cs3(BiSb)2(IBr)9,Cs3Bi2I9:Cs3Sb2Br9=2:8,Bi/Sb ternary compounds,Y,2D,P-3m1,,2.45,2.16
62,Cs3(BiSb)2(IBr)9,Cs3Bi2I9:Cs3Sb2Br9=1:9,Bi/Sb ternary compounds,Y,2D,P-3m1,,2.48,2.17
63,(MA)2CuBr2Cl2,(MA)CuBr2Cl2,Ag/Cu/Na-rich ternary and quaternary compounds,Y,2D,Pnma,,2.46,1.93
64,(MA)CuCl4,(MA)CuCl4,Ag/Cu/Na-rich ternary and quaternary compounds,Y,2D,Pnma,,2.92,2.33
65,Cs2AgBiBr6,Cs2AgBiBr6,Ag/Cu/Na-rich ternary and quaternary compounds,Y,3D,Fm-3m,Cs3Bi2Br9,2.32,2.1
66,Cs2AgSbBr6,Cs2AgSbBr6,Ag/Cu/Na-rich ternary and quaternary compounds,Y,3D (mix phases),Fm-3m,"Cs3Sb2Br9, Cs2SbBr6ÿ",2.27,1.89
67,RbAgBiI,Rb2AgBiI6,Ag/Cu/Na-rich ternary and quaternary compounds,Y,2D (mix phases),P-3m1,Rb3Bi2I9,2.29,1.92
68,CsNaBiI,Cs2NaBiI6,Ag/Cu/Na-rich ternary and quaternary compounds,Y,0D (mix phases),P63/mmc,Cs3Bi2I9,2.31,2.03
69,CsNaSbI,Cs2NaSbI6,Ag/Cu/Na-rich ternary and quaternary compounds,Y,2D (mix phases),P-3m1,Cs3Sb2I9,2.33,1.97
70,RbNaSbI,Rb2NaSbI6,Ag/Cu/Na-rich ternary and quaternary compounds,Y,2D (mix phases),P-3m1,Rb3Sb2I9,2.32,1.94
71,RbNaSbBr,Rb2NaSbBr6,Ag/Cu/Na-rich ternary and quaternary compounds,Y,2D (mix phases),P-3m1,Rb3Sb2Br9,2.09,1.73
72,CsCuBiI,Cs2CuBiI6,Ag/Cu/Na-rich ternary and quaternary compounds,Y,0D (mix phases),P63/mmc,Cs3Bi2I9,2.11,1.81
73,CsCuSbI,Cs2CuSbI6,Ag/Cu/Na-rich ternary and quaternary compounds,Y,0D (mix phases),P63/mmc,Cs3Sb2I9,2.2,1.67
74,RbCuSbI,Rb2CuSbI6,Ag/Cu/Na-rich ternary and quaternary compounds,Y,2D (mix phases),P-3m1,Rb3Sb2I9,2.18,2.02
75,CsNaSbIBr,Cs2NaSb(IBr)6,Ag/Cu/Na-rich ternary and quaternary compounds,Y,2D (mix phases),P-3m1,Cs3Sb2Br9,2.6,2.42
